taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene
4871, g__unclassified, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unclassified; s__unclassified; 4871; GQ025120.1 gg_id:438223 Topographical and Temporal Human Skin Microbiome skin axillary vault clone nbw131b04c1, GQ025120.1 gg_id:438223 Topographical and Temporal Human Skin Microbiome skin axillary vault clone nbw131b04c1
27897, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__unclassified; s__unclassified; 27897; EU776451.1 gg_id:354054 Red Kangaroo feces clone KO2_aai17g04, EU776451.1 gg_id:354054 Red Kangaroo feces clone KO2_aai17g04
21511, g__Blautia, s__Ruminococcus obeum, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Ruminococcus obeum; 21511; FJ368714.1 gg_id:360328 feces adult twins and mothers; TS49 clone TS49_a03f04, FJ368714.1 gg_id:360328 feces adult twins and mothers TS49 clone TS49_a03f04
20663, g__Blautia, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__unclassified; 20663; FJ673633.1 gg_id:519730 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301; was positive STEC O157 clone 130-5N16, FJ673633.1 gg_id:519730 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301 was positive STEC O157 clone 130-5N16
22483, g__Oscillospira, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__unclassified; 22483; AY684396.2 gg_id:110998 mucosal biopsies human intestine clone HuDI51, AY684396.2 gg_id:110998 mucosal biopsies human intestine clone HuDI51
19918, g__Coprococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__unclassified; 19918; DQ795587.1 gg_id:185404 human fecal clone RL178_aan66f07, DQ795587.1 gg_id:185404 human fecal clone RL178_aan66f07
56032, g__Akkermansia, s__Akkermansia muciniphila, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__Akkermansia muciniphila; 56032; FJ365276.1 gg_id:362860 feces adult twins and mothers; TS1 clone TS1_a04h10, FJ365276.1 gg_id:362860 feces adult twins and mothers TS1 clone TS1_a04h10
55768, g__unclassified, s__unclassified, p__Thermodesulfobacteria, c__Thermodesulfobacteria, o__Thermodesulfobacteriales, f__Thermodesulfobacteriaceae,k__Bacteria; p__Thermodesulfobacteria; c__Thermodesulfobacteria; o__Thermodesulfobacteriales; f__Thermodesulfobacteriaceae; g__unclassified; s__unclassified; 55768; AM712345.1 gg_id:247140 detection and ly microbial Brothers Seamount Kermadec Arc New Zealand biofilm hydrothermal vent orifice clone MS12-2-F12, AM712345.1 gg_id:247140 detection and ly microbial Brothers Seamount Kermadec Arc New Zealand biofilm hydrothermal vent orifice clone MS12-2-F12
44522, g__Streptococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__unclassified; 44522; EU467161.1 gg_id:288666 white-faced saki feces clone Saki_e03, EU467161.1 gg_id:288666 white-faced saki feces clone Saki_e03
5370, g__Leclercia, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Leclercia; s__unclassified; 5370; EU302840.1 gg_id:257817 Pantoea sp. str. DAP15, EU302840.1 gg_id:257817 Pantoea sp. str. DAP15
69621, g__Alistipes, s__unclassified, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__unclassified; 69621; AY991932.1 gg_id:133674 mouse cecum clone C20_l18, AY991932.1 gg_id:133674 mouse cecum clone C20_l18
17769, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 17769; EU778340.1 gg_id:322310 feces clone RL117_aae92f02, EU778340.1 gg_id:322310 feces clone RL117_aae92f02
42658, g__Enterococcus, s__Enterococcus haemoperoxidus, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus haemoperoxidus; 42658; AF286831.1 gg_id:70378 Enterococcus moraviensis str. CCM 4856T, AF286831.1 gg_id:70378 Enterococcus moraviensis str. CCM 4856T
