taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene
5006, g__unclassified, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unclassified; s__unclassified; 5006; FJ975887.1 gg_id:534463 Human gut microbiome adopts alternative state bowel transplantation ileum effluent clone 14d77.656, FJ975887.1 gg_id:534463 Human gut microbiome adopts alternative state bowel transplantation ileum effluent clone 14d77.656
63406, g__unclassified, s__unclassified, p__Bacteroidetes, c__Flavobacteria, o__Flavobacteriales, f__Flavobacteriaceae,k__Bacteria; p__Bacteroidetes; c__Flavobacteria; o__Flavobacteriales; f__Flavobacteriaceae; g__unclassified; s__unclassified; 63406; GQ105630.1 gg_id:380715 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw529g06c1, GQ105630.1 gg_id:380715 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw529g06c1
42368, g__Actinomadura, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Thermomonosporaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__unclassified; 42368; AF163119.1 gg_id:37892 Actinomadura pelletieri str. JCM3388T, AF163119.1 gg_id:37892 Actinomadura pelletieri str. JCM3388T
27850, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 27850; GQ449028.1 gg_id:575261 Microbiome neonatal calves: shedding microorganisms fecal clone calf783_6wks_grp1_H10, GQ449028.1 gg_id:575261 Microbiome neonatal calves: shedding microorganisms fecal clone calf783_6wks_grp1_H10
42517, g__Enterococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__unclassified; 42517; GQ155811.1 gg_id:566795 Human gut microbiome adopts alternative state bowel transplantation ileum intestinal transplant clone SHZH704, GQ155811.1 gg_id:566795 Human gut microbiome adopts alternative state bowel transplantation ileum intestinal transplant clone SHZH704
27587, g__Clostridium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__unclassified; 27587; DQ807168.1 gg_id:176088 human fecal clone RL244_aaj47b01, DQ807168.1 gg_id:176088 human fecal clone RL244_aaj47b01
18581, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 18581; EU844275.1 gg_id:356280 metagenomics random sampling pyrosequencing rumen fluid fiber adherent microbiome steer 64; 6 week 1 hour after feeding clone 1103200827855, EU844275.1 gg_id:356280 metagenomics random sampling pyrosequencing rumen fluid fiber adherent microbiome steer 64 6 week 1 hour after feeding clone 1103200827855
67525, g__Prevotella, s__unclassified, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__unclassified; 67525; EU344585.1 gg_id:277290 Foregut Fermentation Birds: Hoatzin Crop Supports Case Convergence Ruminants adult hoatzin crop clone hoa46_17A03, EU344585.1 gg_id:277290 Foregut Fermentation Birds: Hoatzin Crop Supports Case Convergence Ruminants adult hoatzin crop clone hoa46_17A03
22537, g__Oscillospira, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__unclassified; 22537; EU466225.1 gg_id:298036 bighorn sheep feces clone BH1_aao28d06, EU466225.1 gg_id:298036 bighorn sheep feces clone BH1_aao28d06
71174, g__Anaerococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiales Family XI. Incertae Sedis,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XI. Incertae Sedis; g__Anaerococcus; s__unclassified; 71174; GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1, GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1
24114, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 24114; EU456745.1 gg_id:303890 Innate immunity and intestinal microbiota Type 1 diabetes mouse cecum clone H77S1_81f07, EU456745.1 gg_id:303890 Innate immunity and intestinal microbiota Type 1 diabetes mouse cecum clone H77S1_81f07
66454, g__unclassified, s__unclassified, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__RikenellaceaeII,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__RikenellaceaeII; g__unclassified; s__unclassified; 66454; AJ488099.1 gg_id:66165 chlorobenzene-degrading consortium clone IIIB-28, AJ488099.1 gg_id:66165 chlorobenzene-degrading consortium clone IIIB-28
18471, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 18471; FJ673344.1 gg_id:513208 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301; was positive STEC O157 clone 130-2I1, FJ673344.1 gg_id:513208 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301 was positive STEC O157 clone 130-2I1
55377, g__Akkermansia, s__Akkermansia muciniphila, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__Akkermansia muciniphila; 55377; DQ803687.1 gg_id:177813 human fecal clone RL200_aai57b09, DQ803687.1 gg_id:177813 human fecal clone RL200_aai57b09
51599, g__sfA, s__unclassified, p__SC4, c__unclassified, o__unclassified, f__unclassified,k__Bacteria; p__SC4; c__unclassified; o__unclassified; f__unclassified; g__sfA; s__unclassified; 51599; GQ002367.1 gg_id:507292 Topographical and Temporal Human Skin Microbiome skin buttock clone nbu176f02c1, GQ002367.1 gg_id:507292 Topographical and Temporal Human Skin Microbiome skin buttock clone nbu176f02c1
44604, g__Streptococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__unclassified; 44604; GQ032269.1 gg_id:391176 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw904e05c1, GQ032269.1 gg_id:391176 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw904e05c1
18860, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__unclassified; 18860; DQ905638.1 gg_id:167163 human fecal clone 014C-B3, DQ905638.1 gg_id:167163 human fecal clone 014C-B3
72946, g__Lactobacillus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__unclassified; 72946; GU299083.1 gg_id:534440 Lactobacillus casei str. NQ2-2, GU299083.1 gg_id:534440 Lactobacillus casei str. NQ2-2
24783, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 24783; FJ684991.1 gg_id:509638 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301; was negative STEC O157 clone 6-1L20, FJ684991.1 gg_id:509638 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301 was negative STEC O157 clone 6-1L20
50689, g__Olsenella, s__Olsenella profusa, p__Actinobacteria, c__Actinobacteria, o__Coriobacteriales, f__Coriobacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Olsenella; s__Olsenella profusa; 50689; FN178466.2 gg_id:515726 Olsenella profusa str. CCUG 45371, FN178466.2 gg_id:515726 Olsenella profusa str. CCUG 45371
25953, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 25953; FJ683338.1 gg_id:512733 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4351 pen 301; was negative STEC O157 clone 8-6G13, FJ683338.1 gg_id:512733 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4351 pen 301 was negative STEC O157 clone 8-6G13
44912, g__Streptococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__unclassified; 44912; GQ057669.1 gg_id:375780 Topographical and Temporal Human Skin Microbiome skin antecubital fossa clone nbw1067d06c1, GQ057669.1 gg_id:375780 Topographical and Temporal Human Skin Microbiome skin antecubital fossa clone nbw1067d06c1
21836, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__unclassified; s__unclassified; 21836; EU777851.1 gg_id:345556 European rabbit feces clone RA_b02_1, EU777851.1 gg_id:345556 European rabbit feces clone RA_b02_1
1969, g__Pseudomonas, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__unclassified; 1969; AF105390.1 gg_id:8640 Pseudomonas syringae 010297, AF105390.1 gg_id:8640 Pseudomonas syringae 010297
28005, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__unclassified; s__unclassified; 28005; EU463648.1 gg_id:288212 domesticated horse feces clone horsej_aai90d05, EU463648.1 gg_id:288212 domesticated horse feces clone horsej_aai90d05
42066, g__sfA, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__MC47, f__unclassified,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__unclassified; g__sfA; s__unclassified; 42066; FJ478770.1 gg_id:591906 species richness estimates obtained nearly and simulated pyrosequencing-generated fragments -based surveys undisturbed tall grass prairie top 5 cm clone p5o07ok, FJ478770.1 gg_id:591906 species richness estimates obtained nearly and simulated pyrosequencing-generated fragments -based surveys undisturbed tall grass prairie top 5 cm clone p5o07ok
22305, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__unclassified; s__unclassified; 22305; EU885033.1 gg_id:315891 microbial hindgut chamber Pomacanthus sexstriatus GI tract clone A2B3, EU885033.1 gg_id:315891 microbial hindgut chamber Pomacanthus sexstriatus GI tract clone A2B3
21215, g__Blautia, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__unclassified; 21215; EU459628.1 gg_id:292800 ring-tailed lemur feces clone RT_aai09e08, EU459628.1 gg_id:292800 ring-tailed lemur feces clone RT_aai09e08
14729, g__unclassified, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Alcaligenaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__unclassified; s__unclassified; 14729; FJ477590.1 gg_id:586368 gut symbionts are tightly linked herbivory ants whole extracted single ant clone 86a, FJ477590.1 gg_id:586368 gut symbionts are tightly linked herbivory ants whole extracted single ant clone 86a
42123, g__Streptosporangium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptosporangiaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptosporangiaceae; g__Streptosporangium; s__unclassified; 42123; AF191733.1 gg_id:12095 Streptosporangium sp. str. 11007, AF191733.1 gg_id:12095 Streptosporangium sp. str. 11007
73007, g__Lactobacillus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__unclassified; 73007; EU465367.1 gg_id:302089 lion feces clone LI3_aah76b05, EU465367.1 gg_id:302089 lion feces clone LI3_aah76b05
4836, g__Salmonella, s__Salmonella enterica, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Salmonella; s__Salmonella enterica; 4836; EF604237.1 gg_id:227737 Salmonella typhimurium Exploits Inflammation Compete Intestinal Microbiota mouse cecum clone 16saw14-01f08.w2k926r, EF604237.1 gg_id:227737 Salmonella typhimurium Exploits Inflammation Compete Intestinal Microbiota mouse cecum clone 16saw14-01f08.w2k926r
10233, g__Diaphorobacter, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__unclassified; 10233; GQ062335.1 gg_id:375499 Topographical and Temporal Human Skin Microbiome skin inguinal crease clone nbw31c08c1, GQ062335.1 gg_id:375499 Topographical and Temporal Human Skin Microbiome skin inguinal crease clone nbw31c08c1
20398, g__Coprococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__unclassified; 20398; DQ327206.1 gg_id:147131 Metagenomic gut microbiome healthy human stool clone E737, DQ327206.1 gg_id:147131 Metagenomic gut microbiome healthy human stool clone E737
69946, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 69946; EU772218.1 gg_id:343551 Argali sheep feces clone AS1_aao38b12.Contig1, EU772218.1 gg_id:343551 Argali sheep feces clone AS1_aao38b12.Contig1
70179, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 70179; EU774299.1 gg_id:313590 Chimpanzee feces clone CHIMP1_aaj40g03, EU774299.1 gg_id:313590 Chimpanzee feces clone CHIMP1_aaj40g03
22961, g__Butyrivibrio, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__unclassified; 22961; AF001728.1 gg_id:13939 rumen clone RCP17, AF001728.1 gg_id:13939 rumen clone RCP17
18647, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__unclassified; 18647; EU460121.1 gg_id:294538 mammals their gut microbes eastern black and white colobus feces clone COL_aai15a08, EU460121.1 gg_id:294538 mammals their gut microbes eastern black and white colobus feces clone COL_aai15a08
26831, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__unclassified; 26831; DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01, DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01
27275, g__Clostridium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__unclassified; 27275; DQ824440.1 gg_id:197356 human fecal clone RL304_aal76a10, DQ824440.1 gg_id:197356 human fecal clone RL304_aal76a10
30706, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 30706; GQ029398.1 gg_id:452300 Topographical and Temporal Human Skin Microbiome skin occiput clone nbw925e11c1, GQ029398.1 gg_id:452300 Topographical and Temporal Human Skin Microbiome skin occiput clone nbw925e11c1
26317, g__Faecalibacterium, s__Faecalibacterium prausnitzii, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii; 26317; DQ800929.1 gg_id:181459 human fecal clone RL387_aao89d11, DQ800929.1 gg_id:181459 human fecal clone RL387_aao89d11
26707, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__unclassified; 26707; AJ515913.1 gg_id:102671 Ruminococcus sp. str. 18P13, AJ515913.1 gg_id:102671 Ruminococcus sp. str. 18P13
56666, g__Geobacter, s__unclassified, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__unclassified; 56666; AB486599.1 gg_id:589964 Microbial responsive denitrification-inducing conditions rice paddy soil clone TSCOR001_F01, AB486599.1 gg_id:589964 Microbial responsive denitrification-inducing conditions rice paddy soil clone TSCOR001_F01
26002, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 26002; FJ362604.1 gg_id:359991 feces adult twins and mothers; TS13 clone TS13_a01a04, FJ362604.1 gg_id:359991 feces adult twins and mothers TS13 clone TS13_a01a04
47439, g__unclassified, s__unclassified, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__unclassified; s__unclassified; 47439; FJ425900.1 gg_id:536206 Aquisalibacillus sp. str. JSM 078194, FJ425900.1 gg_id:536206 Aquisalibacillus sp. str. JSM 078194
25747, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 25747; FJ673842.1 gg_id:527733 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301; was positive STEC O157 clone 130-6H13, FJ673842.1 gg_id:527733 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301 was positive STEC O157 clone 130-6H13
18931, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 18931; AY984693.1 gg_id:123923 human stool clone B646, AY984693.1 gg_id:123923 human stool clone B646
5401, g__unclassified, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unclassified; s__unclassified; 5401; FJ608656.1 gg_id:566084 Klebsiella pneumoniae str. EP4, FJ608656.1 gg_id:566084 Klebsiella pneumoniae str. EP4
20906, g__Blautia, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__unclassified; 20906; DQ808431.1 gg_id:176519 human fecal clone RL180_aao76e04, DQ808431.1 gg_id:176519 human fecal clone RL180_aao76e04
21316, g__Blautia, s__Ruminococcus obeum, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Ruminococcus obeum; 21316; GQ897939.1 gg_id:546581 Diets enriched fructans and/or can alter dominant fecal humans but do so non-consistent manner feces human soy protein supplemented diet clone A4-38, GQ897939.1 gg_id:546581 Diets enriched fructans and/or can alter dominant fecal humans but do so non-consistent manner feces human soy protein supplemented diet clone A4-38
55814, g__Akkermansia, s__Akkermansia muciniphila, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__Akkermansia muciniphila; 55814; EU763663.1 gg_id:329021 Pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone A4_126, EU763663.1 gg_id:329021 Pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone A4_126
24290, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 24290; DQ801572.1 gg_id:194536 human fecal clone RL117_aae91f06, DQ801572.1 gg_id:194536 human fecal clone RL117_aae91f06
1203, g__Pseudomonas, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__unclassified; 1203; AY900171.1 gg_id:142050 Pseudomonas fluorescens str. PCL1751, AY900171.1 gg_id:142050 Pseudomonas fluorescens str. PCL1751
45028, g__Streptococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__unclassified; 45028; EU772567.1 gg_id:350483 North American Black Bear feces clone BB2_d03, EU772567.1 gg_id:350483 North American Black Bear feces clone BB2_d03
70549, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 70549; FJ202265.1 gg_id:309316 and White Plague Disease-Induced Changes Caribbean Coral Montastraea faveolata kept aquarium 23 days clone SGUS1383, FJ202265.1 gg_id:309316 and White Plague Disease-Induced Changes Caribbean Coral Montastraea faveolata kept aquarium 23 days clone SGUS1383
17814, g__Roseburia, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__unclassified; 17814; EU766898.1 gg_id:303749 Pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone C1_481, EU766898.1 gg_id:303749 Pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone C1_481
66241, g__unclassified, s__unclassified, p__Bacteroidetes, c__Flavobacteria, o__Flavobacteriales, f__Flavobacteriaceae,k__Bacteria; p__Bacteroidetes; c__Flavobacteria; o__Flavobacteriales; f__Flavobacteriaceae; g__unclassified; s__unclassified; 66241; DQ351761.1 gg_id:148990 Microbial Adherent Sediment Particles Heavy Metal Contaminated North Sea Surface Sediments marine sediments clone Belgica2005/10-130-16, DQ351761.1 gg_id:148990 Microbial Adherent Sediment Particles Heavy Metal Contaminated North Sea Surface Sediments marine sediments clone Belgica2005/10-130-16
23574, g__Moryella, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Moryella; s__unclassified; 23574; GU304388.1 gg_id:541114 inhabiting epithelial tissue ruminal digesta -DGGE and sequencing rumen epithelium clone L406RT-4-F06, GU304388.1 gg_id:541114 inhabiting epithelial tissue ruminal digesta -DGGE and sequencing rumen epithelium clone L406RT-4-F06
52769, g__Chthonomonas, s__Chthonomonas calidirosea, p__Armatimonadetes, c__Chthonomonadetes, o__Chthonomonadales, f__Chthonomonadaceae,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__Chthonomonas calidirosea; 52769; AM749746.1 gg_id:247969 Isolation ing candidate division soils New Zealand steam-affected geothermal soil clone Wkt_03b, AM749746.1 gg_id:247969 Isolation ing candidate division soils New Zealand steam-affected geothermal soil clone Wkt_03b
56038, g__Akkermansia, s__unclassified, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__unclassified; 56038; DQ824314.1 gg_id:194496 human fecal clone RL304_aal74d01, DQ824314.1 gg_id:194496 human fecal clone RL304_aal74d01
72948, g__Clostridium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__unclassified; 72948; AB486434.1 gg_id:587168 Microbial responsive denitrification-inducing conditions rice paddy soil clone TSBAR003_C02, AB486434.1 gg_id:587168 Microbial responsive denitrification-inducing conditions rice paddy soil clone TSBAR003_C02
